(s, ns, GiB/s):
  0,                0.000,           245509.353,      6.604
  1,                0.000,           236592.428,      6.852
  2,                0.000,           236760.099,      6.848
  3,                0.000,           236815.482,      6.846
  4,                0.000,           236590.307,      6.853
  5,                0.000,           236564.251,      6.853
  6,                0.000,           239087.070,      6.781
  7,                0.000,           236695.414,      6.850
  8,                0.000,           236638.792,      6.851
  9,                0.000,           236734.467,      6.848
 10,                0.000,           236626.537,      6.851
 11,                0.000,           236694.583,      6.850
 12,                0.000,           236444.287,      6.857
 13,                0.000,           236365.418,      6.859
 14,                0.000,           236458.124,      6.856
 15,                0.000,           236565.558,      6.853
 16,                0.000,           236629.249,      6.851
 17,                0.000,           236511.900,      6.855
 18,                0.000,           236564.389,      6.853
 19,                0.000,           236530.286,      6.854
 20,                0.000,           236601.699,      6.852
 21,                0.000,           236567.123,      6.853
 22,                0.000,           236529.222,      6.854
 23,                0.000,           236665.807,      6.850
 24,                0.000,           236624.198,      6.852
 25,                0.000,           236540.259,      6.854
 26,                0.000,           236434.777,      6.857
 27,                0.000,           236579.775,      6.853
 28,                0.000,           236561.153,      6.853
 29,                0.000,           236536.947,      6.854
 30,                0.000,           236658.509,      6.851
 31,                0.000,           236689.653,      6.850
 32,                0.000,           236591.697,      6.853

236365.418, 245509.353, 236938.146, 1601.515, 0.676 %

Delta(min, max)   = 9143.935
Delta(amean, min) = 572.728
Delta(amean, max) = 8571.207


(cycles, CPIt, CPI):
  0,           602072.216,                2.767,                0.553
  1,           590145.056,                2.712,                0.542
  2,           590372.956,                2.713,                0.543
  3,           591023.200,                2.716,                0.543
  4,           592466.188,                2.723,                0.545
  5,           589819.252,                2.711,                0.542
  6,           590004.104,                2.711,                0.542
  7,           590080.468,                2.712,                0.542
  8,           590121.068,                2.712,                0.542
  9,           590212.056,                2.712,                0.542
 10,           590195.732,                2.712,                0.542
 11,           590284.848,                2.713,                0.543
 12,           590202.424,                2.712,                0.542
 13,           589942.504,                2.711,                0.542
 14,           589710.428,                2.710,                0.542
 15,           590288.352,                2.713,                0.543
 16,           589963.868,                2.711,                0.542
 17,           590165.856,                2.712,                0.542
 18,           590142.692,                2.712,                0.542
 19,           590745.408,                2.715,                0.543
 20,           590242.284,                2.713,                0.543
 21,           589940.804,                2.711,                0.542
 22,           589982.924,                2.711,                0.542
 23,           589922.756,                2.711,                0.542
 24,           590942.864,                2.716,                0.543
 25,           597305.096,                2.745,                0.549
 26,           591789.640,                2.720,                0.544
 27,           590267.432,                2.713,                0.543
 28,           590069.640,                2.712,                0.542
 29,           590451.660,                2.713,                0.543
 30,           591373.228,                2.718,                0.544
 31,           589959.316,                2.711,                0.542
 32,           590196.192,                2.712,                0.542

589710.428, 602072.216, 590921.288, 2409.508, 0.408 %

Delta(min, max)   = 12361.788
Delta(amean, min) = 1210.860
Delta(amean, max) = 11150.928
