(s, ns, GiB/s):
  0,                0.000,             7839.919,     13.381
  1,                0.000,             6359.161,     16.497
  2,                0.000,             6610.425,     15.870
  3,                0.000,             7148.312,     14.675
  4,                0.000,             6098.389,     17.202
  5,                0.000,             5996.235,     17.495
  6,                0.000,             6060.695,     17.309
  7,                0.000,             5942.522,     17.653
  8,                0.000,             6015.936,     17.438
  9,                0.000,             5965.035,     17.587
 10,                0.000,             6067.909,     17.288
 11,                0.000,             5992.850,     17.505
 12,                0.000,             6062.391,     17.304
 13,                0.000,             6036.435,     17.378
 14,                0.000,             6041.425,     17.364
 15,                0.000,             5963.844,     17.590
 16,                0.000,             6041.294,     17.365
 17,                0.000,             6013.073,     17.446
 18,                0.000,             6068.834,     17.286
 19,                0.000,             6185.613,     16.959
 20,                0.000,             6071.509,     17.278
 21,                0.000,             5999.806,     17.485
 22,                0.000,             6162.525,     17.023
 23,                0.000,             6365.178,     16.481
 24,                0.000,             6066.628,     17.292
 25,                0.000,             6022.219,     17.420
 26,                0.000,             6168.454,     17.007
 27,                0.000,             8555.254,     12.262
 28,                0.000,             6798.033,     15.432
 29,                0.000,             6240.698,     16.810
 30,                0.000,             6141.216,     17.082
 31,                0.000,             6054.198,     17.328
 32,                0.000,             6002.813,     17.476

5942.522, 8555.254, 6277.540, 564.051, 8.985 %

Delta(min, max)   = 2612.732
Delta(amean, min) = 335.018
Delta(amean, max) = 2277.714


(cycles, CPIt, CPI):
  0,            15315.660,                1.088,                0.218
  1,            15079.568,                1.071,                0.214
  2,            14977.924,                1.064,                0.213
  3,            15127.192,                1.074,                0.215
  4,            15049.812,                1.069,                0.214
  5,            15177.224,                1.078,                0.216
  6,            15071.712,                1.070,                0.214
  7,            14940.984,                1.061,                0.212
  8,            15002.404,                1.066,                0.213
  9,            14960.460,                1.063,                0.213
 10,            14961.192,                1.063,                0.213
 11,            14873.492,                1.056,                0.211
 12,            14976.892,                1.064,                0.213
 13,            14988.224,                1.065,                0.213
 14,            15001.912,                1.065,                0.213
 15,            14979.264,                1.064,                0.213
 16,            14936.768,                1.061,                0.212
 17,            15061.888,                1.070,                0.214
 18,            15025.292,                1.067,                0.213
 19,            15124.788,                1.074,                0.215
 20,            14982.148,                1.064,                0.213
 21,            14948.908,                1.062,                0.212
 22,            14953.140,                1.062,                0.212
 23,            15045.980,                1.069,                0.214
 24,            15111.988,                1.073,                0.215
 25,            14945.184,                1.061,                0.212
 26,            14908.412,                1.059,                0.212
 27,            15077.788,                1.071,                0.214
 28,            14997.432,                1.065,                0.213
 29,            15047.760,                1.069,                0.214
 30,            14980.536,                1.064,                0.213
 31,            15017.852,                1.067,                0.213
 32,            14982.496,                1.064,                0.213

14873.492, 15315.660, 15019.160, 86.201, 0.574 %

Delta(min, max)   = 442.168
Delta(amean, min) = 145.668
Delta(amean, max) = 296.500
