(s, ns, GiB/s):
  0, 0.001, 575756.383, 5.632
  1, 0.001, 571167.043, 5.677
  2, 0.001, 571157.627, 5.677
  3, 0.001, 572116.495, 5.668
  4, 0.001, 571173.201, 5.677
  5, 0.001, 571159.330, 5.677
  6, 0.001, 571145.425, 5.677
  7, 0.001, 571163.347, 5.677
  8, 0.001, 571144.715, 5.677
  9, 0.001, 571155.378, 5.677
 10, 0.001, 571117.064, 5.677
 11, 0.001, 571270.230, 5.676
 12, 0.001, 571153.674, 5.677
 13, 0.001, 571151.719, 5.677
 14, 0.001, 571136.331, 5.677
 15, 0.001, 571137.918, 5.677
 16, 0.001, 571174.359, 5.677
 17, 0.001, 571173.339, 5.677
 18, 0.001, 571126.704, 5.677
 19, 0.001, 571136.433, 5.677
 20, 0.001, 573418.466, 5.655
 21, 0.001, 571133.666, 5.677
 22, 0.001, 571130.266, 5.677
 23, 0.001, 571215.203, 5.676
 24, 0.001, 571131.992, 5.677
 25, 0.001, 571296.792, 5.676
 26, 0.001, 571206.245, 5.677
 27, 0.001, 571254.391, 5.676
 28, 0.001, 572236.093, 5.666
 29, 0.001, 571194.172, 5.677
 30, 0.001, 571169.928, 5.677
 31, 0.001, 571182.112, 5.677
 32, 0.001, 571177.898, 5.677

571117.064, 575756.383, 571438.301, 897.906, 0.157 %

Delta(min, max)   = 4639.319
Delta(amean, min) = 321.237
Delta(amean, max) = 4318.082


(cycles, CPIt, CPI):
  0, 3919039.400, 9.005, 1.801
  1, 3918971.260, 9.005, 1.801
  2, 3919012.988, 9.005, 1.801
  3, 3918956.208, 9.005, 1.801
  4, 3918949.824, 9.005, 1.801
  5, 3918952.692, 9.005, 1.801
  6, 3919050.964, 9.005, 1.801
  7, 3918977.784, 9.005, 1.801
  8, 3918991.188, 9.005, 1.801
  9, 3921024.328, 9.010, 1.802
 10, 3918992.080, 9.005, 1.801
 11, 3919014.932, 9.005, 1.801
 12, 3918931.976, 9.005, 1.801
 13, 3918989.164, 9.005, 1.801
 14, 3919004.736, 9.005, 1.801
 15, 3918962.272, 9.005, 1.801
 16, 3919130.948, 9.005, 1.801
 17, 3918998.736, 9.005, 1.801
 18, 3918953.300, 9.005, 1.801
 19, 3918992.108, 9.005, 1.801
 20, 3919528.352, 9.006, 1.801
 21, 3919269.372, 9.006, 1.801
 22, 3919084.308, 9.005, 1.801
 23, 3919112.792, 9.005, 1.801
 24, 3919052.296, 9.005, 1.801
 25, 3919051.908, 9.005, 1.801
 26, 3919135.484, 9.005, 1.801
 27, 3919084.092, 9.005, 1.801
 28, 3919038.148, 9.005, 1.801
 29, 3921401.888, 9.011, 1.802
 30, 3919063.908, 9.005, 1.801
 31, 3919066.148, 9.005, 1.801
 32, 3919021.248, 9.005, 1.801

3918931.976, 3921401.888, 3919175.965, 538.986, 0.014 %

Delta(min, max)   = 2469.912
Delta(amean, min) = 243.989
Delta(amean, max) = 2225.923
