(s, ns, GiB/s):
  0, 0.000, 13799.942, 2.073
  1, 0.000, 13795.051, 2.074
  2, 0.000, 13798.196, 2.073
  3, 0.000, 13794.235, 2.074
  4, 0.000, 13804.657, 2.073
  5, 0.000, 13794.254, 2.074
  6, 0.000, 13815.013, 2.071
  7, 0.000, 13804.308, 2.073
  8, 0.000, 13801.892, 2.073
  9, 0.000, 13794.297, 2.074
 10, 0.000, 13794.899, 2.074
 11, 0.000, 13797.052, 2.074
 12, 0.000, 13795.032, 2.074
 13, 0.000, 13798.271, 2.073
 14, 0.000, 13813.926, 2.071
 15, 0.000, 13847.019, 2.066
 16, 0.000, 13794.480, 2.074
 17, 0.000, 13796.457, 2.074
 18, 0.000, 13795.102, 2.074
 19, 0.000, 13796.315, 2.074
 20, 0.000, 14126.520, 2.025
 21, 0.000, 14216.086, 2.013
 22, 0.000, 13805.489, 2.072
 23, 0.000, 13801.891, 2.073
 24, 0.000, 13806.135, 2.072
 25, 0.000, 13799.662, 2.073
 26, 0.000, 13796.820, 2.074
 27, 0.000, 13794.217, 2.074
 28, 0.000, 13802.721, 2.073
 29, 0.000, 13794.335, 2.074
 30, 0.000, 13796.321, 2.074
 31, 0.000, 13794.832, 2.074
 32, 0.000, 13799.473, 2.073

13794.217, 14216.086, 13823.179, 91.027, 0.659 %

Delta(min, max)   = 421.869
Delta(amean, min) = 28.962
Delta(amean, max) = 392.907


(cycles, CPIt, CPI):
  0, 34408.924, 8.961, 1.792
  1, 34405.184, 8.960, 1.792
  2, 34410.400, 8.961, 1.792
  3, 34405.596, 8.960, 1.792
  4, 34411.540, 8.961, 1.792
  5, 34405.940, 8.960, 1.792
  6, 34411.600, 8.961, 1.792
  7, 34405.816, 8.960, 1.792
  8, 34426.368, 8.965, 1.793
  9, 34404.960, 8.960, 1.792
 10, 34411.016, 8.961, 1.792
 11, 34407.040, 8.960, 1.792
 12, 34407.048, 8.960, 1.792
 13, 34411.472, 8.961, 1.792
 14, 34406.652, 8.960, 1.792
 15, 34412.756, 8.962, 1.792
 16, 34406.432, 8.960, 1.792
 17, 34430.560, 8.966, 1.793
 18, 34407.072, 8.960, 1.792
 19, 34413.392, 8.962, 1.792
 20, 34406.472, 8.960, 1.792
 21, 34405.596, 8.960, 1.792
 22, 34412.432, 8.962, 1.792
 23, 34407.496, 8.960, 1.792
 24, 34436.112, 8.968, 1.794
 25, 34408.840, 8.961, 1.792
 26, 34411.008, 8.961, 1.792
 27, 34410.608, 8.961, 1.792
 28, 34410.708, 8.961, 1.792
 29, 34406.620, 8.960, 1.792
 30, 34412.268, 8.962, 1.792
 31, 34407.604, 8.960, 1.792
 32, 34406.272, 8.960, 1.792

34404.960, 34436.112, 34410.661, 7.120, 0.021 %

Delta(min, max)   = 31.152
Delta(amean, min) = 5.701
Delta(amean, max) = 25.451
